Component,"User Action",Precondition,"Expected Results",Priority,"Require File",Steps
,,,,,,
Login,"Valid Login","- User is not logged in.
- User has an account.
- System displays a 'Login' link","- Login page renders.
- User successfully logs in.
- User is forwarded to their profile page.
- 'Login' and 'Sign up' links are no longer visible.",High,no,"Click ""Login"" link || Enter valid username and password || Click 'Login' button"
Login,"Invalid Login","- User is not logged in.
- System displays a 'Login' link","- Login page renders.
- User is not logged in
- User is informed that the password and username did not match
- Remains on the login entry page
- Login fields are cleared",High,no,"Click ""login"" link || Enter a user not registered in the database || Enter a password that does not match any account in the database || Click the ""login"" button"
Login,"Non matching credentials","- User is not logged in.
- System displays a 'Login' link","- Login page renders.
- User is not logged in
- User is informed that the password and username did not match
- Remains on the login entry page
- Login fields are cleared",High,no,"Click the ""login"" link || Enter a username that is registered in the database || Enter a password that is registered to an account other than that of the username used || Click the ""login"" button"
Login,"Leaving empty fields","- User is not logged in.
- System displays a 'Login' link","- Login page renders.
- User is not logged in
- User is informed that the password and username did not match
- Remains on the login entry page
- Login fields are cleared",Medium,no,"Click the ""login"" link || Enter some login credentials, registered or not, leaving one or both fields blank || Click the ""login"" button"
Login,"Overloading fields","- User is not logged in.
- System displays a 'Login' link","- Login page renders.
- User is not logged in
- User is informed that the password and username did not match
- Remains on the login entry page
- Login fields are cleared",Medium,no,"Click the ""login"" link || Enter at least more than 100 characters into one or both of the fields || Click the ""login"" button"
Login,"Valid Credentials - Unit Test","Database Connection initialised","JUnit returns true when username:password are valid
JUnit returns false when combination of username:password are invalid",High,no,"Launch LoginTest.java, ComparePassword() method"
,,,,,,
Registration,"Valid Registration","- User is not logged in
- System is currently displaying a ""register"" link","- An account for the user is created
- The user is now logged in with said account
- User is forwarded to the menu page",,no,"Click the ""register"" link || Enter valid information in all fields || Click the ""register"" button"
Registration,"Leaving Empty Fields","- User is not logged in
- System is currently displaying a ""register"" link","- The user will not be logged in
- An account of the given credentials will not be created
- The user is informed the some information was invalid
- The user remains on the register page
- The information in the fields of the register page is cleared",,no,"Click the ""register"" link || Enter valid information leaving between one and all fields blank || Click the ""register"" button"
Registration,"User matches an existing account","- User is not logged in
- System is currently displaying a ""register"" link","- The user will not be logged in
- An account of the given credentials will not be created
- The user is informed the some information was invalid
- The user remains on the register page
- The information in the fields of the register page is cleared",,no,"Click the ""register"" link || Enter information matching that of another entry already in the database || Click the ""register"" button"
Registration,"Passwords do not match","- User is not logged in
- System is currently displaying a ""register"" link","- The user will not be logged in
- An account of the given credentials will not be created
- The user is informed the some information was invalid
- The user remains on the register page
- The information in the fields of the register page is cleared",,no,"Click the ""register"" link || Enter all valid information except in the password fields || Enter two different passwords in the ""password"" and ""confirm password"" fields || Click the ""register"" button"
,,,,,,
"Edit availablity","Valid availablity","- A user is logged in as a business account
- The system is displaying an ""Edit availability"" option","- The availability times of the employee will be modified
- The user is informed that the changes have been made
- The user remains on the current page",,no,"Click the ""Edit availablity || Select an Employee to change availability for || Enter in the times of the fields that need to be changed || Click the ""save"" button"
